[Feb 21 10:30:27.582] [ET_NET 5] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [11] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3fbcc8, reader_start_offset=170
[Feb 21 10:30:27.582] [ET_NET 4] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [17] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3fbdb8, reader_start_offset=170
[Feb 21 10:30:27.582] [ET_NET 17] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [16] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3facd8, reader_start_offset=170
[Feb 21 10:30:27.582] [ET_NET 19] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [20] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3fb818, reader_start_offset=170
[Feb 21 10:30:27.583] [ET_NET 15] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [22] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3fabe8, reader_start_offset=170
[Feb 21 10:30:27.583] [ET_NET 0] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [10] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3fadc8, reader_start_offset=170
[Feb 21 10:30:27.584] [ET_NET 14] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [7] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3fbae8, reader_start_offset=170
[Feb 21 10:30:27.585] [ET_NET 8] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [28] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3fb278, reader_start_offset=170
[Feb 21 10:30:27.586] [ET_NET 12] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [25] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3fb548, reader_start_offset=170
[Feb 21 10:30:27.586] [ET_NET 9] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [27] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3fb368, reader_start_offset=170
[Feb 21 10:30:27.586] [ET_NET 6] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [26] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3fb458, reader_start_offset=170
[Feb 21 10:30:27.588] [ET_NET 10] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [30] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3fb098, reader_start_offset=170
[Feb 21 10:30:27.595] [ET_NET 11] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [19] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3f9fb8, reader_start_offset=170
[Feb 21 10:30:27.600] [ET_NET 11] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [31] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3fa828, reader_start_offset=170
[Feb 21 10:30:27.694] [ET_NET 20] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [52] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3fbbd8, reader_start_offset=1364
[Feb 21 10:30:27.696] [ET_NET 23] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [43] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3f9bf8, reader_start_offset=1364
